player1,player2,val_3,val_6,raw,total
1626246_2018-19,203998_2018-19,0,0,0.16,1
1626246_2018-19,204456_2018-19,0,0,0.16,1
1627733_2018-19,1627774_2018-19,1,1,0.33,2
1627733_2018-19,1627823_2018-19,0,0,0.16,1
1627733_2018-19,1627936_2018-19,0,0,0.16,1
1627733_2018-19,1628384_2018-19,1,1,0.33,2
1627733_2018-19,1628443_2018-19,0,0,0.16,1
1627733_2018-19,1629026_2018-19,0,0,0.16,1
1627733_2018-19,201588_2018-19,0,0,0.16,1
1627733_2018-19,203894_2018-19,0,0,0.16,1
1627733_2018-19,203926_2018-19,0,0,0.16,1
1627733_2018-19,203998_2018-19,1,1,0.33,2
1627733_2018-19,204456_2018-19,0,0,0.16,1
1627774_2018-19,1627823_2018-19,1,1,0.33,2
1627774_2018-19,1627936_2018-19,0,0,0.16,1
1627774_2018-19,1628384_2018-19,0,0,0.16,1
1627774_2018-19,1628443_2018-19,1,1,0.33,2
1627774_2018-19,1629026_2018-19,0,0,0.16,1
1627774_2018-19,201588_2018-19,1,1,0.33,2
1627774_2018-19,203894_2018-19,0,0,0.16,1
1627774_2018-19,203926_2018-19,1,1,0.33,2
1627774_2018-19,203998_2018-19,0,0,0.16,1
1627774_2018-19,204456_2018-19,0,0,0.16,1
1627823_2018-19,1627936_2018-19,0,0,0.16,1
1627823_2018-19,1628384_2018-19,3,2,0.66,4
1627823_2018-19,1628443_2018-19,0,0,0.16,1
1627823_2018-19,1629026_2018-19,0,0,0.16,1
