id,group,pos,name,season,GroupYear,pid,team,AGE,FG%,PTS,REB,AST,STL,BLK,TOV,+/-
201158_2016-17,0,SG,Marco Belinelli,2016-17,Group 0 (2016-17),201158.0,CHA,31.0,0.429,10.5,2.4,2.0,0.6,0.1,0.9,0.6
202498_2016-17,0,PF,Lance Thomas,2016-17,Group 0 (2016-17),202498.0,NYK,29.0,0.398,6.0,3.1,0.8,0.5,0.1,0.5,-4.4
203516_2016-17,0,SF,James Ennis III,2016-17,Group 0 (2016-17),203516.0,MEM,26.0,0.455,6.7,4.0,1.0,0.7,0.3,0.9,0.7
203922_2016-17,0,SF,Glenn Robinson III,2016-17,Group 0 (2016-17),203922.0,IND,23.0,0.467,6.1,3.6,0.7,0.6,0.3,0.5,-1.1
1626155_2016-17,0,PF,Sam Dekker,2016-17,Group 0 (2016-17),1626155.0,HOU,23.0,0.473,6.5,3.7,1.0,0.5,0.3,0.5,1.0
1627786_2016-17,0,SF,Troy Williams,2016-17,Group 0 (2016-17),1627786.0,HOU,22.0,0.437,6.2,2.3,0.8,0.9,0.3,1.1,-2.5
1627827_2016-17,5,PF,Dorian Finney-Smith,2016-17,Group 5 (2016-17),1627827.0,DAL,24.0,0.372,4.3,2.7,0.8,0.6,0.3,0.6,-1.5
1717_2016-17,7,PF,Dirk Nowitzki,2016-17,Group 7 (2016-17),1717.0,DAL,39.0,0.437,14.2,6.5,1.5,0.6,0.7,0.9,-0.2
201967_2016-17,7,PF,Dante Cunningham,2016-17,Group 7 (2016-17),201967.0,NOP,30.0,0.485,6.6,4.2,0.6,0.6,0.4,0.4,-0.8
202720_2016-17,7,PF,Jon Leuer,2016-17,Group 7 (2016-17),202720.0,DET,28.0,0.48,10.2,5.4,1.5,0.4,0.3,0.9,-1.0
1891_2016-17,0,SG,Jason Terry,2016-17,Group 0 (2016-17),1891.0,MIL,39.0,0.432,4.1,1.4,1.3,0.6,0.3,0.5,1.4
2399_2016-17,0,SF,Mike Dunleavy,2016-17,Group 0 (2016-17),2399.0,ATL,36.0,0.423,5.2,2.2,0.9,0.3,0.1,0.5,-0.7
2733_2016-17,0,PG,Shaun Livingston,2016-17,Group 0 (2016-17),2733.0,GSW,31.0,0.547,5.1,2.0,1.8,0.5,0.3,0.8,2.0
200826_2016-17,1,PG,J.J. Barea,2016-17,Group 1 (2016-17),200826.0,DAL,33.0,0.414,10.9,2.4,5.5,0.4,0.0,1.8,0.3
201147_2016-17,0,SF,Corey Brewer,2016-17,Group 0 (2016-17),201147.0,LAL,31.0,0.422,4.5,2.0,1.2,0.7,0.2,0.7,0.9
201155_2016-17,0,PG,Rodney Stuckey,2016-17,Group 0 (2016-17),201155.0,IND,31.0,0.373,7.2,2.2,2.2,0.4,0.0,1.4,-0.8
202692_2016-17,0,SG,Alec Burks,2016-17,Group 0 (2016-17),202692.0,UTA,25.0,0.399,6.7,2.9,0.7,0.4,0.1,0.8,0.0
203107_2016-17,0,SG,Tomas Satoransky,2016-17,Group 0 (2016-17),203107.0,WAS,25.0,0.415,2.7,1.5,1.6,0.5,0.1,0.7,0.2
203138_2016-17,0,SG,Hollis Thompson,2016-17,Group 0 (2016-17),203138.0,NOP,26.0,0.385,5.1,2.8,0.9,0.5,0.2,0.3,-1.8
203493_2016-17,0,SF,Reggie Bullock,2016-17,Group 0 (2016-17),203493.0,DET,26.0,0.422,4.5,2.1,0.9,0.6,0.1,0.3,1.8
203546_2016-17,0,SG,Ian Clark,2016-17,Group 0 (2016-17),203546.0,GSW,26.0,0.487,6.8,1.6,1.2,0.5,0.1,0.7,0.5
203957_2016-17,0,PG,Dante Exum,2016-17,Group 0 (2016-17),203957.0,UTA,21.0,0.427,6.2,2.0,1.7,0.3,0.2,1.2,0.0
1626169_2016-17,0,SF,Stanley Johnson,2016-17,Group 0 (2016-17),1626169.0,DET,21.0,0.353,4.4,2.5,1.4,0.7,0.3,0.9,0.0
1626170_2016-17,0,PG,Jerian Grant,2016-17,Group 0 (2016-17),1626170.0,CHI,24.0,0.425,5.9,1.8,1.9,0.7,0.1,0.7,0.8
1627756_2016-17,0,SG,Denzel Valentine,2016-17,Group 0 (2016-17),1627756.0,CHI,23.0,0.354,5.1,2.6,1.1,0.5,0.1,0.9,-0.3
1627758_2016-17,0,SG,Ron Baker,2016-17,Group 0 (2016-17),1627758.0,NYK,24.0,0.378,4.1,1.9,2.1,0.7,0.2,1.1,-1.1
1627759_2016-17,0,SF,Jaylen Brown,2016-17,Group 0 (2016-17),1627759.0,BOS,20.0,0.455,6.6,2.8,0.8,0.4,0.2,0.9,-1.6
1627789_2016-17,0,SF,Timothe Luwawu-Cabarrot,2016-17,Group 0 (2016-17),1627789.0,PHI,22.0,0.402,6.4,2.2,1.1,0.5,0.1,1.1,-0.8
1627884_2016-17,5,SF,Derrick Jones Jr.,2016-17,Group 5 (2016-17),1627884.0,PHX,20.0,0.562,5.3,2.5,0.4,0.4,0.4,0.4,1.0
1938_2016-17,6,SG,Manu Ginobili,2016-17,Group 6 (2016-17),1938.0,SAS,39.0,0.39,7.5,2.3,2.7,1.2,0.2,1.4,3.7
201601_2016-17,8,SF,Luc Mbah a Moute,2016-17,Group 8 (2016-17),201601.0,LAC,30.0,0.505,6.1,2.1,0.5,1.0,0.4,0.6,3.3
203487_2016-17,0,PG,Michael Carter-Williams,2016-17,Group 0 (2016-17),203487.0,CHI,25.0,0.366,6.6,3.4,2.5,0.8,0.5,1.5,-0.6
1626150_2016-17,0,PG,Andrew Harrison,2016-17,Group 0 (2016-17),1626150.0,MEM,22.0,0.325,5.9,1.9,2.8,0.7,0.3,1.2,-0.4
1627752_2016-17,0,SF,Taurean Prince,2016-17,Group 0 (2016-17),1627752.0,ATL,23.0,0.4,5.7,2.7,0.9,0.7,0.5,1.0,-0.5
2037_2016-17,1,SG,Jamal Crawford,2016-17,Group 1 (2016-17),2037.0,LAC,37.0,0.413,12.3,1.6,2.6,0.7,0.2,1.6,0.3
101145_2016-17,1,SG,Monta Ellis,2016-17,Group 1 (2016-17),101145.0,IND,31.0,0.443,8.5,2.8,3.2,1.1,0.4,1.8,-1.0
101150_2016-17,1,SG,Lou Williams,2016-17,Group 1 (2016-17),101150.0,HOU,30.0,0.429,17.5,2.5,3.0,1.0,0.2,2.0,0.6
203082_2016-17,1,SF,Terrence Ross,2016-17,Group 1 (2016-17),203082.0,ORL,26.0,0.437,11.0,2.6,1.1,1.1,0.4,0.9,1.6
203085_2016-17,1,SG,Austin Rivers,2016-17,Group 1 (2016-17),203085.0,LAC,24.0,0.442,12.0,2.2,2.8,0.6,0.1,1.6,-0.1
